CAPITAL,GNP,Nbr_skills_immigrants ,Nbr_industries_immigrants         
       179,    249704,                  781,                      754
       148,      3527,                 1287,                      251
       554,     72949,                  257,                        9
       587,     15846,                11130,                     1641
      3236,    121914,                   24,                      371
      2409,     20208,                 9712,                     1081
      3483,     48267,                 6666,                     1574
      1864,     24375,                13917,                     1660
      2511,      4251,                 4237,                      368
      3209,     20594,                  896,                      738
      3336,      6232,                 6816,                      268
      3426,     42168,                21813,                     5070
        56,      6648,                 3941,                      119
       149,      6366,                16906,                     2722
       211,    776739,                20197,                     6844
       204,      4834,                 1050,                       83
       929,      3459,                14901,                      508
      1530,      6871,                15326,                      914
      3217,     15706,                28083,                     4054
      2447,     10692,                  283,                       29
      2460,      1694,                10154,                      424
      4074,      4173,                13120,                      748
      2973,      9472,                 5590,                     1403
      3263,    256254,                12784,                     4379
       910,      7137,                12747,                     3372
       933,      5333,                 4956,                       62
      1365,     11500,                 4593,                       69
      2486,     36124,                44737,                    12312
       766,     65107,                23768,                     8759
      3358,    210721,                26438,                     7095
      3503,     14194,                 1647,                      109
      3770,     21929,                 5747,                     3429
       126,      1813,                 6989,                      308
       135,    351182,                   12,                      371
       150,     32852,                17759,                     2530
       194,      8571,                 5717,                      291
      1804,      9174,                15619,                     2624
      3339,     55017,                  642,                      212
      2974,   1424285,                  504,                     1500
      2401,    120724,                12479,                     3117
       939,     84982,                  636,                      441
      1464,   1161755,                 7733,                     3581
      2331,    320749,                10504,                     1529
      2455,      3750,                 4489,                       73
      2462,      1687,                  810,                       23
      2890,     64140,                 4748,                     1250
      3320,    116416,                 9295,                     2870
      3306,      8005,                 8030,                      849
      4068,      5951,                14462,                     1702
         1,      5976,                36519,                     1926
        69,    340238,                17292,                     4215
      3520,     13714,                 8211,                      432
      3248,    264478,                  232,                      327
        35,     49982,                26736,                     3244
       594,     19770,                 4128,                      613
       905,      6064,                  246,                       58
       937,    166448,                 6935,                     3776
      1380,    195746,                49071,                     7205
      1532,   3787042,                 3957,                     1533
      1881,      9217,                 2709,                      277
      1800,      5121,                 4850,                      301
      2690,      1579,                19652,                     1269
      2482,      2642,                 2196,                       68
      2515,    414972,                11061,                     2534
      2698,      2891,                 1162,                      207
      2754,     65707,                25457,                    13914
      2734,      1988,                17995,                      207
         5,    371362,                  180,                      120
      2831,     61289,                27167,                     8481
      2914,    105954,                  549,                      138
      3018,     38158,                13789,                     5153
      3212,     19756,                 1196,                       86
      3198,      4787,                 2356,                      548
       645,     11863,                 4635,                      296
      3349,     20026,                52588,                     8861
      3813,   8510700,                   64,                      236
      1780,      6041,                 2574,                       40
      3162,      3377,                  453,                       70
       201,      2841,                11559,                      281
       549,      2425,                 2406,                       20
      3068,   2133367,                  117,                      777
       922,     19008,                 4678,                      325
      1109,    447114,                35734,                    15107
      1786,      7526,                23353,                     5051
      2438,     17121,                41804,                     8798
      2464,     69213,                12704,                     4754
      3047,      2036,                  802,                      125
      3225,     10162,                32817,                     2704
      3250,     65984,                35926,                     1880
      3492,     20831,                 2914,                      624
       716,    116729,                27505,                     6092
      1523,    211860,                  172,                      251
       539,     12178,                 1661,                     1215
      1891,    982268,                 9846,                     2745
      2257,    102896,                11376,                     3059
      2413,     17843,                31221,                     1387
      2430,      9333,                  242,                     1419
      1450,     97477,                  972,                       78
      2429,     27037,                 2720,                      973
      3499,     54669,                  282,                      451
      2882,      9131,                 3164,                      615
      3208,     86503,                  800,                      555
        34,      3205,                20963,                     2190
       144,      4127,                17026,                     1031
       187,      2357,                 4489,                      129
       584,     10226,                 4659,                      456
      3315,    174099,                  476,                      191
       608,     82710,                18147,                     3631
       653,    553233,                   10,                     1125
       764,      1536,                 5378,                      255
       456,   1378330,                 2002,                      661
      1447,     75921,                  303,                      233
      1449,      8255,                 2059,                      246
      2434,      6398,                  901,                      135
      2696,      1043,                 3447,                       60
      2484,      3512,                  357,                      383
      2729,      4768,                21970,                     3495
      2928,    151697,                  847,                      689
      2919,     34100,                15764,                     3265
      3425,      6313,                 5980,                      499
      3539,     95023,               250473,                    39556
