Spanish                       ,               406434,                    61530  
Arabic                        ,               317920,                    52367  
Persian                       ,                49071,                     7205  
Hindi                         ,                35734,                    15107  
Romanian                      ,                33441,                     6422  
Joruba                        ,                25457,                    13914  
Pashto                        ,                36519,                     1926  
Punjabi                       ,                27167,                     8481  
Zulu                          ,                27505,                     6092  
Turkish                       ,                26438,                     7095  
Pilipino                      ,                23768,                     8759  
Singali                       ,                28083,                     4054  
Portuguese                    ,                20746,                     6982  
Ukrainian                     ,                21813,                     5070  
Nepali                        ,                21970,                     3495  
Albaniana                     ,                20963,                     2190  
Serbo-Croatian                ,                21271,                     1362  
Bengali                       ,                17759,                     2530  
Fang                          ,                16597,                     2624  
Azerbaijani                   ,                17026,                     1031  
