Republic                                     ,               729637,                   125558                                                                                                                                                                                                               
Federal Republic                             ,               393641,                    84819                                                                                                                                                                                                               
Constitutional Monarchy                      ,               128047,                    29445                                                                                                                                                                                                               
Islamic Republic                             ,                81888,                     9909                                                                                                                                                                                                               
Socialistic Republic                         ,                36968,                     4816                                                                                                                                                                                                               
Islamic Emirate                              ,                36519,                     1926                                                                                                                                                                                                               
Monarchy (Emirate)                           ,                16906,                     2722                                                                                                                                                                                                               
Constitutional Monarchy Federation          ,                13497,                     5911                                                                                                                                                                                                               
Commonwealth of the US                       ,                15764,                     3265                                                                                                                                                                                                               
Autonomous Area                              ,                13120,                      748                                                                                                                                                                                                               
People Republic                              ,                 9846,                     2745                                                                                                                                                                                                               
Special Administrative Region of China       ,                 6935,                     3776                                                                                                                                                                                                               
Monarchy                                     ,                 5590,                     1403                                                                                                                                                                                                               
Constitutional Monarchy (Emirate)            ,                 2720,                      973                                                                                                                                                                                                               
Federation                                   ,                  232,                      327                                                                                                                                                                                                               
